,Country,Confirmed,Deaths,Recovered,GDP_2018,gini,Infant Mortality Rate,Population Density,Urban Population,Median Age
153,Somalia,206646,7006,59491,,37.5925,74.0321434580524,25.0,0.47,17
154,South Africa,11168743,181979,5836423,13686.88236,65.888,27.5164818893263,49.0,0.67,28
155,South Korea,1647537,33518,1246797,,,,527.0,0.82,44
156,South Sudan,118818,2006,23121,,,62.3710703861653,18.0,0.25,19
157,Spain,27404045,3033030,15093583,39715.43906,37.468642857142854,2.60335687437446,94.0,0.8,45
158,Sri Lanka,166865,1105,109389,13473.66309,41.70666666666667,6.07699098764092,341.0,0.18,34
159,Sudan,586392,35415,240835,4767.689827,34.24,40.9686813841218,25.0,0.35,20
160,Suriname,32247,721,17436,15510.46464,38.1,16.0799236235507,4.0,0.65,29
161,Sweden,4973160,448913,0,53208.88436,31.20394736842105,2.08277164752368,25.0,0.88,41
162,Switzerland,3696604,207858,2957883,68060.94105,31.929255319148936,3.56609688171907,219.0,0.74,43
163,Syria,20946,973,0,,,,95.0,0.6,26
164,Taiwan*,55593,840,42184,,,,,,
165,Tajikistan,383026,3915,264000,3449.779316,34.0,29.595545480471,68.0,0.27,22
166,Tanzania,49327,1985,16729,3240.262937,39.135000000000005,,67.0,0.37,18
167,Thailand,366527,6289,312360,19051.33338,36.84,7.72087042927698,137.0,0.51,40
168,Timor-Leste,2487,0,0,7658.434996,28.65,38.0720249532661,89.0,0.33,21
169,Togo,47390,1295,28330,1773.896632,44.540000000000006,45.7611494697216,152.0,0.43,19
170,Trinidad and Tobago,14967,949,10531,32014.78313,,15.6558000408699,273.0,0.52,36
171,Tunisia,126590,5250,85410,12502.82019,36.08166666666667,14.486694208547,76.0,0.7,33
172,Turkey,17903345,466056,13345389,28068.85941,40.68186440677966,8.61532827125566,110.0,0.76,32
173,US,224345948,11011411,56353416,,,,,,
174,Uganda,56688,6,39767,2038.073892,42.126666666666665,33.4373256212882,229.0,0.26,17
175,Ukraine,3214085,85248,1387463,9249.462135,25.03,7.17725329486225,75.0,0.69,41
176,United Arab Emirates,3658838,25387,2402874,75075.25741,32.51,6.40488881716623,118.0,0.86,33
177,United Kingdom,26748587,3997775,126217,45973.5735,36.23352657004831,3.6743768921846,281.0,0.83,40
178,Uruguay,94742,2456,72759,23572.17746,38.77369047619048,6.06832411892569,20.0,0.96,36
179,Uzbekistan,678008,2938,423777,8556.051512,,15.5745197177963,79.0,0.5,28
180,Venezuela,412231,4101,151542,,38.45,,32.0,,30
181,Vietnam,40675,0,32838,7447.814334,37.044444444444444,,314.0,0.38,32
182,West Bank and Gaza,233461,1370,61124,5157.568578,39.2141935483871,,,,
183,Western Sahara,901,63,648,,,,2.0,0.87,28
184,Yemen,67180,17707,23779,,36.71,43.6230314861571,56.0,0.38,20
185,Zambia,129421,2643,83611,4223.906936,56.379999999999995,42.4152614198793,25.0,0.45,18
186,Zimbabwe,50794,881,12207,3029.793005,41.158,38.4237755876984,38.0,0.38,19
