Country,Confirmed,Deaths,Recovered,GDP_2018,gini,Infant Mortality Rate,Population Density,Urban Population,Median Age
Bangladesh,8754729,-0.11663750928450582,3714702,0.028755060503124017,0.5985762831317978,0.3030621123431738,0.04803128678285302,-0.9760223460900466,-0.2836986580220116
Barbados,10652,-0.23179481804698157,7444,0.14117596576681374,0.2850528906807263,0.12888846625711137,0.0253635569730797,-1.3537657697333203,1.125011919742459
Belarus,4426759,-0.20407868541102056,2771925,0.1525959129385017,-1.8461092956546634,0.011680755800047297,0.0017845616433154877,0.9126947721263213,1.125011919742459
Belgium,6281116,0.7333446054009244,1627492,0.401602155668069,-1.1560922048183477,0.015620900083463823,0.01454227892318791,1.8098354032790958,1.3597970160365376
Belize,2636,-0.2323119960905991,1618,0.0626527216854969,0.0,0.11440202702247095,0.0006454797433268786,-0.6454968504021822,-0.6358763024631293
Benin,64406,-0.23143700300517642,25911,0.013321579377791774,1.0221690476745064,0.7232809267168772,0.004100694839958993,-0.5510609944913639,-1.3402315913453646
Bhutan,4971,-0.2325345029233183,2838,0.07470023759841517,-0.09471134560829664,0.28117815191818907,0.0007593879333257394,-0.6454968504021822,-0.2836986580220116
Bolivia,2170351,-0.15432435350555854,571653,0.056510062243484496,1.050846326328531,0.23996724171662834,0.0004176633633291567,0.440515492572229,-0.5184837543160901
Bosnia and Herzegovina,396634,-0.216124122868764,207156,0.1100200164246828,-0.855982998287344,0.044836587982563327,0.002430041386642366,-0.362189282669727,1.4771895641835768
Botswana,15306,-0.2324142289596863,2291,0.14166476470158498,1.9213511489154305,0.3868991297738742,0.00015187758666514788,0.629387204393866,-0.7532688506101685
Brazil,89524967,3.7144901478894017,54492873,0.12169403439912314,1.875119899691365,0.13777703549263445,0.0009492349166571743,1.337656123725004,0.30326408271318456
Brunei,18168,-0.23230798695847804,15262,0.16499332159743768,0.0,0.23996724171662834,0.003151459923301819,0.9599127000817306,0.1858715345661453
Bulgaria,410722,-0.21484019830699255,182621,0.16817656881148105,0.09791864264616572,0.05201385130816409,0.002430041386642366,0.7710409882600936,1.7119746604776553
Burkina Faso,96153,-0.22693875676534012,74876,0.009834803779503336,-0.5168099557787209,0.6595904678018255,0.00288567414663781,-1.3537657697333203,-1.4576241394924039
Burma,25188,-0.23189404406697797,15476,0.16499332159743768,0.0,0.23996724171662834,0.014077533507992557,0.0,0.0
Burundi,11351,-0.23242826092211002,7361,0.0,-0.020750704180205068,0.4824192999172702,0.01757983065649087,-2.1564705449752766,-1.5750166876394431
Cabo Verde,82732,-0.23167855321547065,38253,0.05318792013171053,0.0,0.14207758939503334,0.005239776739947602,0.39329756461682025,-0.2836986580220116
Cambodia,17079,-0.2325345029233183,13917,0.028668653723064663,-1.014861413206949,0.26839906837630734,0.003607092683297262,-1.6842912654211846,-0.5184837543160901
Cameroon,844817,-0.21012946806473973,588941,0.024104602538349732,1.1775611023921135,0.6122509601101975,0.0021262862133120705,-0.17331757084809007,-1.3402315913453646
Canada,9356551,0.468628627428134,0,0.375620133418632,-0.3464763573382666,0.034616219799508796,0.00015187758666514788,1.00713062803714,1.2424044678894983
Central African Republic,198659,-0.2305199140324825,43318,0.000917555716617981,0.0,1.0,0.00030375517333029576,-0.7871506342684099,-1.4576241394924039
Chad,64226,-0.22699889374715612,48059,0.009703012382753595,0.6815018507935978,0.8502425726165573,0.0004936021566617307,-1.7315091933765938,-1.5750166876394431
Chile,16935654,0.09068172867704012,13292593,0.1940350555418019,1.1775611023921135,0.0562603015813708,0.0009872043133234613,1.1960023398587762,0.538049179007263
China,14132002,0.44141363630730623,11466866,0.13865907620079243,0.3934569032115904,0.06622751800335598,0.005809317689941907,0.0627720689289556,0.8902268234483807
Colombia,6893122,0.004530490810478453,2823811,0.11310557429565476,1.8334797793566835,0.1301066580607859,0.0017465922466492008,0.9599127000817306,0.06847898641910607
Comoros,15823,-0.23219673354211845,11473,0.01719486533451476,0.9818268796228193,0.5884397416392927,0.017731708243156015,-1.4482016256441388,-1.2228390431983254
Congo (Brazzaville),101609,-0.22983234787371967,29132,0.16499332159743768,0.0,0.23996724171662834,0.014077533507992557,0.0,0.0
